site,datasetID,long,lat,state,pi,pre,settlement,notes
Hell's Kitchen Lake,3131,-89.7,46.183333,wisconsin,"Swain, Albert M.",,,
Lake Mary,3473,-89.9,46.25,wisconsin,"Webb, Thompson III",,,
Blue Mounds Creek,287,-89.866667,43.083333,wisconsin,"Davis, Anthony M.",,,
Brown Lake (US:Wisconsin),313,-89.483333,45.783333,wisconsin,"Shane, Linda C. K.",,,
Camp 12 Lake,333,-89.375,45.986111,wisconsin,"Shane, Linda C. K.",,,
Dark Lake,546,-91.475,45.275,wisconsin,"Winkler, Marjorie Green",,,
Denton Lake,681,-89.316667,45.85,wisconsin,"Shane, Linda C. K.",,,
Devils Lake (US:Wisconsin),684,-89.7385,43.4273,wisconsin,"Maher, Louis J., Jr.",,,
Disterhaft Farm Bog,700,-89.166944,43.916944,wisconsin,"Maher, Louis J., Jr.",,,
Disterhaft Farm Bog,3081,-89.166944,43.916944,wisconsin,"Baker, Richard G.",,,
Gass Lake,860,-87.733333,44.05,wisconsin,"Webb, Sara L.",,,
Hanson Marsh,1004,-89.675,43.433056,wisconsin,"Maher, Louis J., Jr.",,,
Iola Bog,1151,-89.116944,44.5,wisconsin,"Maher, Louis J., Jr.",,,
Kellys Hollow,1447,-90.35,45.3,wisconsin,"Heide, Kathleen M.",,,
Kellys Hollow,3452,-90.35,45.3,wisconsin,"Heide, Kathleen M.",,,
Kellners Lake,1448,-87.848056,44.238056,wisconsin,"Maher, Louis J., Jr.",,,
Little Pine Lake,1643,-91.483333,45.283333,wisconsin,"Gajewski, Konrad J.",,,
Stewart's Dark Lake,3781,-91.45,45.3,wisconsin,"Peters, M. A.",,,
Lake Mendota,1735,-89.416667,43.1,wisconsin,"Winkler, Marjorie Green",,,
Lake Mendota,3488,-89.416667,43.1,wisconsin,"Winkler, Marjorie Green",,,
Otto Mielke Lake,1840,-89.625,45.933333,wisconsin,"Shane, Linda C. K.",,,
Radtke Lake,2011,-88.1,43.4,wisconsin,"Webb, Sara L.",,,
Ruby Lake,2309,-91.458333,45.283333,wisconsin,"Winkler, Marjorie Green",,,
Seidel,3620,-87.515556,44.45,wisconsin,"Maher, Louis J., Jr.",,,
Tamarack Creek,2624,-91.45,44.15,wisconsin,"Davis, Anthony M.",,,
Wood Lake,3035,-90.083333,45.333333,wisconsin,"Heide, Kathleen M.",,,
Lake Allie,29,-94.5675,44.8138,minnesota,"McAndrews, John H.",,,
Bad Medicine Lake,223,-95.383333,47.133333,minnesota,"McAndrews, John H.",,,
Black Bass Lake,241,-93.703889,46.128056,minnesota,"McAndrews, John H.",,,
Beckman Lake,249,-93.183333,45.425,minnesota,"Swain, Patricia C.",,,
Beckman Lake,3062,-93.183333,45.425,minnesota,"Swain, Patricia C.",,,
Big John Pond,272,-94.966667,47.558333,minnesota,"Almendinger, John C.",,,
Billy's Lake,275,-94.583333,46.283333,minnesota,"Jacobson, George L., Jr.",,,
Blandin Pond,280,-93.666667,47.133333,minnesota,"Cushing, Edward J.",,,
Bob Lake,296,-92.614722,46.633611,minnesota,"McAndrews, John H.",,,
Bog D,298,-95.166667,47.183333,minnesota,"McAndrews, John H.",,,
Bossuot Lake,305,-93.734167,44.296111,minnesota,"McAndrews, John H.",,,
"Brown's Bay, Lake Minnetonka",314,-93.55,44.966667,minnesota,"Shane, Linda C. K.",,,
Burntside Lake,325,-91.994722,47.924167,minnesota,"Wright, Herbert E., Jr.",,,
Campbell Lake,334,-93.5,44.705833,minnesota,"McAndrews, John H.",,,
Cedar Bog Lake,352,-93.197222,45.411111,minnesota,"Cushing, Edward J.",,,
Cindy Pond,382,-94.916667,47.183333,minnesota,"McAndrews, John H.",,,
Cottonwood Lake (US:Minnesota),515,-96.016667,45.761111,minnesota,"McAndrews, John H.",,,
Crazy Pond,521,-95.733333,47.183333,minnesota,"McAndrews, John H.",,,
Dalton Lake,545,-95.915278,46.173889,minnesota,"McAndrews, John H.",,,
Dogfish Lake,717,-92.183333,48.183333,minnesota,"Waddington, Jean C.B.",,,
Dunnigan Lake,774,-91.641667,47.708333,minnesota,"Shane, Linda C. K.",,,
East Twin Lake (US:Minnesota),781,-93.508333,45.333333,minnesota,"McAndrews, John H.",,,
Eggert Lake,786,-93.619722,44.470556,minnesota,"McAndrews, John H.",,,
Faith Pond,817,-95.1,47.283333,minnesota,"McAndrews, John H.",,,
Farquar Lake,822,-93.166667,44.757778,minnesota,"McAndrews, John H.",,,
Fawn Lake,824,-94.753333,46.218889,minnesota,"McAndrews, John H.",,,
Fox Pond,846,-95.558333,47.165,minnesota,"McAndrews, John H.",,,
French Lake,850,-94.416667,44.95,minnesota,"Grimm, Eric Christopher",,,
George Lake,869,-93.870833,44.233333,minnesota,"McAndrews, John H.",,,
Goldsmith Lake,967,-92.466667,46.583333,minnesota,"McAndrews, John H.",,,
Grice Pond,990,-95.75,47.2,minnesota,"McAndrews, John H.",,,
Hemo Pond,1032,-95.783333,47.216667,minnesota,"McAndrews, John H.",,,
Horse Pond,1109,-95.872222,47.190278,minnesota,"McAndrews, John H.",,,
Hostage Lake,1111,-94.133333,46.55,minnesota,"Almendinger, John C.",,,
