"depths","ASTERX","BETULA","CHENOAMX","CYPERACE","LARIXPSEU","PICEAX","PINUSX","POACEAE","POLYPOD","QUERCUS"
1,20,33,22,97,27,0,47,17,68,161
7,6,5,14,25,77,1,16,8,19,33
13,3,1,0,89,85,1,90,8,30,26
19,3,8,1,101,43,1,95,8,28,40
25,3,13,0,94,61,7,67,9,76,20
31,4,13,1,34,51,4,73,8,65,19
37,2,6,2,54,56,4,94,6,20,18
43,2,6,2,56,60,4,86,7,11,14
49,1,4,3,91,33,6,121,11,8,31
62,2,1,2,47,9,3,82,6,8,22
72,2,1,2,50,33,5,118,8,3,25
79,3,5,2,160,4,2,137,9,5,48
88,4,5,1,115,1,3,114,7,40,45
98,0,3,5,230,3,3,186,13,9,48
105,2,4,2,202,0,7,167,10,9,38
111,4,2,3,120,0,1,70,9,3,22
116,1,2,1,316,1,6,145,9,14,52
121,2,2,3,180,2,5,119,7,5,43
