"depths","ACERX","ALNUSX","BETULA","FAGUS","OSTRYCAR","PICEAX","PINUSX","POACEAE","QUERCUS","TSUGAX","AMBROSIA","RUMEOXYR"
0.25,8,5,39,5,6,6,40,6,17,11,10,0
1.75,5,3,37,5,6,10,36,5,10,8,9,0
2.75,8,7,58,13,4,13,40,3,10,13,4,0
3.75,11,7,71,22,2,12,76,0,14,21,6,0
4.75,2,1,42,11,2,10,44,2,6,12,4,0
5.75,7,5,46,9,1,11,51,4,8,6,1,0
6.75,7,4,49,8,1,13,36,3,9,8,1,0
7.75,4,5,51,4,3,11,50,6,12,14,0,0
8.75,12,3,54,5,1,11,52,1,7,9,1,0
9.75,11,5,85,3,3,14,85,2,15,26,0,0
10.75,14,5,110,6,2,14,89,0,11,20,0,0
11.75,8,3,75,1,1,5,65,2,16,19,0,0
12.75,6,2,69,6,0,13,94,2,9,15,0,0
16.75,6,2,89,0,3,9,108,3,15,26,0,1
20.75,1,7,67,1,2,3,72,1,11,8,0,0
24.75,1,5,59,2,1,3,139,1,11,7,2,0
28.75,0,0,24,0,2,1,124,0,10,4,0,0
33.5,1,0,6,2,12,1,142,3,8,4,1,0
41.5,1,3,17,0,4,9,125,2,5,1,0,0
